|Raison Sociale|Adresses|Telephone
638|Delacroix sas|86 rte nationale 6 73190 SAINT JEOIRE PRIEURÉ|04 79 70 86 43
639|Ap2m|29 r martyrs 69230 SAINT GENIS LAVAL|04 27 89 95 61
640|Robert laurans|Pl souvenir 26600 PONT DE L'ISÈRE|04 75 84 79 19
641|Ferplait|Lieu-dit gonnards 73100 SAINT OFFENGE|06 47 80 84 33
642|11 industrie|6 av doct schweitzer 69330 MEYZIEU|06 14 98 78 19
643|Gones services|65 r 4 août 69100 VILLEURBANNE|04 78 90 47 35
644|Top depannage|214 bis r 4 août 69100 VILLEURBANNE|04 82 98 70 39
645|Pastor antoine|155 montée gravetan 38540 SAINT JUST CHALEYSSIN|06 78 40 59 58
646|Brosse david|Lieu-dit gimio 69590 LARAJASSE|06 50 24 89 54
647|Thevenon thierry serrurerie (t.c.s)|50 r république 38440 SAINT JEAN DE BOURNAY|06 75 61 05 69
648|Serrurerie métallerie du gier|10 r garat 42152 L'HORME|06 84 78 00 55
649|A2n services ae|11 bis r louis braille 69100 VILLEURBANNE|06 66 20 02 71
650|Dediclef|1 r albert thomas 69300 CALUIRE ET CUIRE|06 60 76 81 61
651|Jarez fermeture|136 montée peraya 42800 SAINT ROMAIN EN JAREZ|04 77 20 73 45
652|Bl dépann'|44 av victor hugo 69160 TASSIN LA DEMI LUNE|04 72 59 01 38
653|B2m|590 chem regardin 38260 LE MOTTIER|04 74 56 72 62
654|Brosse david|Lieu-dit gimio 69590 LARAJASSE|06 50 24 89 54
655|Garcia josé|3 av bruyères 38790 DIÉMOZ|06 32 68 68 96
656|Metallodrome|Chem carabony 26320 SAINT MARCEL LÈS VALENCE|04 75 61 03 88
657|Martins dos santos johnny|145 av francis de pressensé 69200 VÉNISSIEUX|06 25 60 36 89
658|Allo lyon dépannage|25 r jules ferry 69520 GRIGNY|06 81 00 69 65
659|Pastor antoine|155 montée gravetan 38540 SAINT JUST CHALEYSSIN|06 78 40 59 58
660|Batiroc protect entr serrurerie coffrage metal chaudro|149 chem platières 38670 CHASSE SUR RHÔNE|04 78 07 01 19
661|Toumeto|2 chem gorges 38470 COGNIN LES GORGES|06 24 86 16 59
662|Bievre depannage serrurerie|16 all roseraie 38690 LE GRAND LEMPS|04 74 33 06 02
663|Messina gaëtan|1400 rte laffrey 38220 NOTRE DAME DE MÉSAGE|04 76 78 98 31
664|Marchand andré|15 r barodet 69004 LYON|04 78 28 71 46
665|Act'metal|1 r jean macé 69360 SAINT SYMPHORIEN D'OZON|04 78 02 42 74
666|Chiarenza vincent|31 r massenet 38100 GRENOBLE|04 76 33 01 24
667|S.e.r.d.i sarl|Zone artisanale pichatière 38430 MOIRANS|04 76 35 33 33
668|Les2aa dépannage multiservices sarl|19 r gilibert 69002 LYON|04 78 42 42 42
669|Métallerie sud est|R victor duplessis 38290 LA VERPILLIÈRE|04 74 95 31 69
670|Serurerie metallerie conce|R narvik 38550 SAINT MAURICE L'EXIL|09 67 83 69 13
671|Stephan pierre|10 r pré du sud 69330 JONAGE|06 46 49 70 65
672|S.p.m.i|27 r marseille 26140 SAINT RAMBERT D'ALBON|04 75 03 43 35
673|Portes de savoie|57 montée batie 73360 SAINT CHRISTOPHE LA GROTTE|04 79 62 24 35
674|Brosse david|Lieu-dit gimio 69590 LARAJASSE|06 50 24 89 54
675|Sonneville laurent|9 rte pont de cheruy 69124 COLOMBIER SAUGNIEU|04 78 72 22 35
676|Dediclef|1 r albert thomas 69300 CALUIRE ET CUIRE|06 60 76 81 61
677|Eric serrurerie|42 av plaine fleurie 38240 MEYLAN|04 76 24 03 89
678|Vallin daniel|765 chem arnaude 42410 SAINT MICHEL SUR RHÔNE|04 74 59 58 80
679|Sv services|55 rte marennes 69360 SIMANDRES|06 51 51 85 69
680|Dautel philippe|55 rte bordeaux 69290 GRÉZIEU LA VARENNE|06 09 41 15 69
681|Entreprise guillot|61 r marx dormoy 38000 GRENOBLE|04 76 96 12 52
682|Bourjal|260 r eglise 38730 CHÉLIEU|04 37 06 37 23
683|Fanjat et cie|85 r andré sentuc 69200 VÉNISSIEUX|04 78 93 45 98
684|Diffusion plaques internationales|107 r pierre corneille 69003 LYON|06 19 57 12 36
685|Batitech|2 r james condamin 42400 SAINT CHAMOND|06 15 62 41 24
686|Metal'is|9 av berthelot 42152 L'HORME|06 03 45 60 38
687|Js metal|Le fléchet 69850 DUERNE|06 86 50 13 77
688|Gpmetallerie|Les barres 26600 SERVES SUR RHÔNE|04 75 31 26 08
689|Reus et fils|10 lot cèdres 38780 ESTRABLIN|04 74 57 82 97
690|Sérrurerie norbert yu alain torgue sarl|30 r molière 69006 LYON|04 78 24 73 28
691|Dediclef|1 r albert thomas 69300 CALUIRE ET CUIRE|06 60 76 81 61
692|Chanut sarl|32 chem mouilles 69290 GRÉZIEU LA VARENNE|04 78 81 24 16
693|Marchand andré|15 r barodet 69004 LYON|04 78 28 71 46
694|S.m.a|10 r rené camphin 38600 FONTAINE|04 76 27 34 81
695|Simon andré|94 av roger salengro 69100 VILLEURBANNE|07 83 11 34 00
696|Allô serrurier|1 av berliet 69200 VÉNISSIEUX|04 78 00 69 90
697|Coolfabrik|Le coutellier 42220 BURDIGNES|04 77 51 20 61
698|Abf plomberie|Rte nationale 7 26600 LA ROCHE DE GLUN|06 21 09 32 60
699|Amp atelier métallerie pourras|1 r artisanat 69670 VAUGNERAY|06 68 47 08 36
700|Ms scarfo|Av berthelot 38370 SAINT CLAIR DU RHÔNE|04 26 05 33 01
701|Malo|25 r marjoera 38760 VARCES ALLIÈRES ET RISSET|04 76 72 82 92
702|Serrurerie du vieux lyon|30 r bourbonnais 69009 LYON|06 07 41 57 91
703|Adn serrurerie|20 chem peyrard 42400 SAINT CHAMOND|06 27 16 51 25
704|Serviceclient|12 r reluisant 38460 VILLEMOIRIEU|04 72 80 96 26
705|Lyon metropole serrurerie|1 r laurent paul 69110 SAINTE FOY LÈS LYON|06 52 41 56 41
706|Sf metal|50 r ernest renan 69120 VAULX EN VELIN|06 16 74 79 18
707|Espace métal|12 imp château 38090 ROCHE|04 74 92 76 91
708|Ap2m|29 r martyrs 69230 SAINT GENIS LAVAL|04 27 89 95 61
709|Alpha service|10 r gallice 38100 GRENOBLE|06 80 97 70 46
710|Adispo serrurier|Montée st marcel 38200 VIENNE|06 29 31 78 35
711|Easyclefs team clefs|70 r laennec 69008 LYON|04 72 34 07 26
712|Galland jérémie|205 chem lauriers 69590 LARAJASSE|06 89 97 29 34
713|Service rhônes-alpes|72 cours république 69100 VILLEURBANNE|04 78 03 19 76
714|Diatech systeme|4 r jules ferry 69360 SAINT SYMPHORIEN D'OZON|07 68 02 84 40
715|Bsm|29 r st cyr girier 38290 LA VERPILLIÈRE|04 74 94 42 66
716|Amate marc|8 lot delphines 38440 CHÂTONNAY|06 40 25 30 87
717|Amp atelier métallerie pourras|1 r artisanat 69670 VAUGNERAY|06 68 47 08 36
718|T . r . k (travaux realisations kerbrat)|85 r moirond 38420 DOMÈNE|06 16 36 12 18
719|Mazenet patrice|25 r jean rostang 69680 CHASSIEU|06 15 58 47 69
720|Chanut sarl|32 chem mouilles 69290 GRÉZIEU LA VARENNE|04 78 81 24 16
721|Metallerie serrurerie vercellino|10 r blaise pascal 38140 IZEAUX|04 76 93 80 46
722|Ms scarfo|Av berthelot 38370 SAINT CLAIR DU RHÔNE|04 26 05 33 01
723|B.e.r.m|48 chem montbel 69390 VOURLES|04 72 31 16 18
724|Top tube industrie|Zi dauphinieres 38138 LES CÔTES D'AREY|04 74 58 80 73
725|Moulin christophe|1 chem roseaux 38190 VILLARD BONNOT|04 76 71 57 09
726|Roux vincent|72 r marseille 26140 SAINT RAMBERT D'ALBON|06 01 63 34 62
727|Grange mécano soudure|Les côtes 73190 SAINT JEOIRE PRIEURÉ|04 79 71 68 38
728|Travaux et polyvalence (sarl)|181 chem vignerons 38290 LA VERPILLIÈRE|04 74 94 30 14
729|Mecal invest|11 imp coquelicots 69800 SAINT PRIEST|04 78 40 34 32
730|Electro fer|28 r louis saillant 69120 VAULX EN VELIN|06 87 29 04 05
731|Kassama fouad|13 lot tsse de romanche 38220 NOTRE DAME DE MÉSAGE|06 64 33 21 37
732|Malo|25 r marjoera 38760 VARCES ALLIÈRES ET RISSET|04 76 72 82 92
733|Chapus serrurerie métallerie|Hlm la piche 38430 MOIRANS|04 76 35 47 47
734|Pisios baptiste|Les adrets 38190 LES ADRETS|06 25 80 61 26
735|Chapelle olivier|Lieu-dit seyoux 42800 SAINTE CROIX EN JAREZ|06 83 53 40 26
736|Société nouvelle sovoldelli|7 av karl marx 69120 VAULX EN VELIN|04 72 82 36 34
737|Grandguillotte alain|R sure 38600 FONTAINE|06 07 30 75 00
738|Serrurerie des monts d'or|15 bis r georges clemenceau 69660 COLLONGES AU MONT D'OR|06 18 30 41 29
739|Stéph'serrurerie|6 imp mésanges 69330 PUSIGNAN|04 78 31 39 95
740|Hamoum jean-michel|371 rte aqueduc 42320 CELLIEU|06 03 75 14 65
741|Pastor antoine|155 montée gravetan 38540 SAINT JUST CHALEYSSIN|06 78 40 59 58
742|Entreprise v.m.s.|86 montée crépons 42410 LA CHAPELLE VILLARS|06 71 46 70 30
743|Durieu rene|R laverlochère 38780 PONT EVÊQUE|04 74 85 99 05
744|Cesa eric|77 r rené clair 07430 DAVÉZIEUX|06 11 55 72 67
745|Soudem constructions sas|125 voie galilée 73800 FRANCIN|04 79 84 47 24
746|Arnaud metais|116 r vauban 69006 LYON|06 71 19 85 18
747|Cym serrurerie|4 imp de la tour 38790 SAINT GEORGES D'ESPÉRANCHE|04 74 59 12 28
748|Buat jean-claude|227 chem pit 38340 VOREPPE|04 76 50 26 74
749|Serrurerie gén bonnette sarl|4 r rené camphin 38600 FONTAINE|04 76 53 12 66
750|Cfers|1 pl boirie 69420 LONGES|06 33 86 36 62
